
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                 Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

157_d3_10501_d3_1      7.326      1.018          0          0         0         0
157_d3_10502_d3_1      7.326      1.018          0          0         0         0
157_d3_9958_d3_1           0          0          0          0     7.247         0
158_d3_5277_d3_1   4.547E-16  6.317E-17  4.547E-16        100     7.253  1.595E18
157_d3_9956_d3_1       7.357      1.022     0.2198      2.988    0.1034     1.405
157_d3_10432_d3_1      7.357      1.022     0.2182      2.965    0.1023      1.39
157_d3_10023_d3_1      7.358      1.022     0.2188      2.973     0.102     1.387
157_d3_10430_d3_1      7.358      1.022      0.219      2.976     0.102     1.386
157_d3_10431_d3_1      7.358      1.022     0.2192      2.979    0.1019     1.385
157_d3_10429_d3_1      7.358      1.022     0.2194      2.981    0.1018     1.384
157_d3_9969_d3_1       7.358      1.022     0.2198      2.987    0.1017     1.382
157_d3_9970_d3_1       7.359      1.022       0.22       2.99    0.1016      1.38
157_d3_9961_d3_1       7.359      1.022     0.2201      2.991    0.1015      1.38
157_d3_10423_d3_1      7.359      1.022     0.2201      2.992    0.1015     1.379
157_d3_10424_d3_1      7.359      1.022     0.2204      2.995    0.1014     1.378
157_d3_10425_d3_1      7.359      1.022     0.2205      2.996    0.1014     1.377
157_d3_10426_d3_1      7.359      1.022     0.2205      2.997    0.1013     1.377
157_d3_10427_d3_1        7.5      1.042          0          0         0         0
157_d3_10428_d3_1        7.5      1.042          0          0         0         0
157_d3_9971_d3_1         7.5      1.042          0          0         0         0
157_d3_9959_d3_1         7.5      1.042          0          0         0         0
157_d3_9960_d3_1         7.5      1.042          0          0         0         0
157_d3_9954_d3_1       7.497      1.041          0          0         0         0
157_d3_27237_d3_1      7.356      1.022     0.2166      2.945    0.1022     1.389
157_d3_9952_d3_1       7.354      1.021      0.206      2.802   0.09931      1.35
157_d3_30251_d3_1      7.354      1.021      0.206      2.802   0.09931     1.351
157_d3_9950_d3_1       7.477      1.039          0          0         0         0
157_d3_9948_d3_1       7.472      1.038          0          0         0         0
157_d3_9947_d3_2       7.351      1.021     0.1982      2.697   0.09712     1.321
157_d3_78395_d3_2      7.351      1.021     0.1982      2.697   0.09712     1.321
155_d3_23108           7.351      1.021     0.1982      2.697   0.09712     1.321
158_d3_98214_d3_1      7.351      1.021     0.1982      2.697   0.09712     1.321
151_d3_59534-b         7.351      1.021     0.1982      2.697   0.09712     1.321
158_d3_98210_d3_2      7.351      1.021     0.1982      2.697   0.09712     1.321
158_d3_98207_d3_1      7.351      1.021     0.1982      2.697   0.09712     1.321
158_d3_98208_d3_1      7.351      1.021     0.1982      2.697   0.09712     1.321
158_d3_98209_d3_1      7.351      1.021     0.1982      2.697   0.09712     1.321
158_d3_98213_d3_2      7.351      1.021     0.1982      2.697   0.09712     1.321
151_d3_59531-b         7.351      1.021     0.1982      2.697   0.09712     1.321
158_d3_2275_d3_5       7.351      1.021     0.1985        2.7   0.09718     1.322
158_d3_36818_d3_1  2.274E-16  3.158E-17          0          0     7.268  3.196E18
157_d3_75995_d3_1      7.346       1.02     0.1739      2.368   0.09079     1.236
155_d3_20710           7.346       1.02     0.1739      2.368   0.09079     1.236
158_d3_7005_d3_4       7.346       1.02     0.1741       2.37   0.09084     1.237
151_d3_8677            7.346       1.02     0.1741       2.37   0.09084     1.237
158_d3_25342_d3_1      7.346       1.02     0.1741       2.37   0.09084     1.237
158_d3_25340_d3_1      7.346       1.02     0.1741       2.37   0.09084     1.237
158_d3_25338_d3_1      7.346       1.02     0.1741       2.37   0.09084     1.237
151_d3_8678            7.346       1.02     0.1741       2.37   0.09084     1.237
158_d3_25343_d3_1      7.346       1.02     0.1742      2.371   0.09086     1.237
158_d3_7006_d3_1       7.346       1.02     0.1743      2.372   0.09088     1.237
158_d3_7007_d3_3       7.346       1.02     0.1743      2.373   0.09089     1.237
157_d3_39540_d3_2       7.31      1.015     0.1377      1.883   0.07084     0.969
157_d3_39541_d3_1       7.31      1.015     0.1379      1.887   0.07057    0.9655
154_d3_100              7.31      1.015      0.138      1.887   0.07057    0.9655
157_d3_10362_d3_1      7.307      1.015     0.1391      1.904   0.06947    0.9507
157_d3_10363_d3_1      7.305      1.015       0.14      1.916   0.06878    0.9415
157_d3_10013_d3_1      7.305      1.015       0.14      1.916   0.06878    0.9414
157_d3_10231_d3_1      7.305      1.015     0.1402      1.919    0.0686     0.939
157_d3_10232_d3_1      7.305      1.015     0.1402       1.92   0.06852    0.9379
157_d3_10233_d3_1      7.383      1.026          0          0         0         0
157_d3_10238_d3_1      7.306      1.015     0.1404      1.921    0.0683    0.9349
157_d3_10353_d3_1      7.272       1.01          0          0         0         0
157_d3_10354_d3_1      7.272       1.01          0          0         0         0
157_d3_10349_d3_1      7.272       1.01          0          0         0         0
157_d3_10350_d3_1      7.272       1.01          0          0         0         0
157_d3_10351_d3_1      7.272       1.01          0          0         0         0
157_d3_10352_d3_1      7.272       1.01          0          0         0         0
157_d3_10355_d3_1  9.095E-16  1.263E-16          0          0     7.266  7.989E17
157_d3_10356_d3_1      7.266      1.009          0          0         0         0
157_d3_10360_d3_1      7.273       1.01          0          0         0         0
157_d3_10361_d3_1      7.272       1.01          0          0         0         0
157_d3_10234_d3_1      7.272       1.01          0          0         0         0
157_d3_10235_d3_1      7.272       1.01          0          0         0         0
157_d3_10236_d3_1      7.272       1.01          0          0         0         0
157_d3_10237_d3_1      7.272       1.01          0          0         0         0
157_d3_10358_d3_1      7.306      1.015     0.1403       1.92   0.06862    0.9393
157_d3_10359_d3_1      7.306      1.015     0.1403      1.921   0.06864    0.9395
157_d3_10357_d3_1      7.306      1.015     0.1404      1.921   0.06865    0.9396
157_d3_37128_d3_1      7.306      1.015     0.1404      1.922   0.06864    0.9396
157_d3_37129_d3_1      7.306      1.015     0.1404      1.922   0.06864    0.9396
157_d3_10364_d3_1      7.382      1.025          0          0         0         0
